** WARNING! Editing this file can cause it to become unusable with the MapCHECK software.

5.02.00.02
File Revision:	B
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	2-Sep-2011-A.txt
Firmware Version:	10109
Hardware Revision:	D0
Diode Type:	0
Temperature:	21.667, 0, 0
Inclinometer Tilt:	0.000
Inclinometer Rotation:	0.000
Background Threshold:	60

Date:	09/02/11	Time:	13:33:57
Serial No:	6840311

Overrange Error:	0

Cal File:	6MVBoc.cal

Dose per Count:	0.0000000000
Dose Info:	None
Dose IDDC:	0

Time:	36999

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Background
Ycm	ROW	
1.0	35	2.633053221288515	0.000000000000000	1.770894404273337	0.000000000000000	1.747964301999870	0.000000000000000	2.641391440297049	0.000000000000000	2.384046641912579	0.000000000000000	2.228063318350596	0.000000000000000	2.422122337307016	0.000000000000000	2.447886131196665	0.000000000000000	1.605465441990750	0.000000000000000	2.275942935313660	0.000000000000000	1.508338219008534	0.000000000000000	1.851345189238486	0.000000000000000	1.688619633900072	0.000000000000000	1.968308253533972	0.000000000000000	1.958374047293336	0.000000000000000	2.757670510064491	0.000000000000000	2.066738323236271	0.000000000000000	1.872809588951860	0.000000000000000	1.846198944694157	0.000000000000000	2.119764184743665	0.000000000000000	2.047684189955052	0.000000000000000	1.879682105400300	0.000000000000000	2.012474757344799	0.000000000000000	2.330695068725165	0.000000000000000	1.856165722102795	0.000000000000000	1.858087421014918	0.000000000000000	2.308058106963716
0.5	34	0.000000000000000	2.927822291707381	0.000000000000000	2.752687121360172	0.000000000000000	1.763891603152889	0.000000000000000	1.923881180379128	0.000000000000000	2.380919809784379	0.000000000000000	1.821998566868608	0.000000000000000	1.924011465051137	0.000000000000000	2.458927757149371	0.000000000000000	2.176047163051267	0.000000000000000	2.377597550648166	0.000000000000000	2.398899094521529	0.000000000000000	2.063253208260048	0.000000000000000	2.448179271708684	0.000000000000000	2.661129568106312	0.000000000000000	2.257149371376458	0.000000000000000	1.788613119666471	0.000000000000000	1.873167871799883	0.000000000000000	2.249788287407986	0.000000000000000	2.196436714220572	0.000000000000000	1.683408247019738	0.000000000000000	2.779981760145919	0.000000000000000	2.153247345449808	0.000000000000000	2.651065077193668	0.000000000000000	2.387010618200769	0.000000000000000	2.464269428701713	0.000000000000000	2.122304735847827	0.000000000000000
0.0	33	2.737997524591232	0.000000000000000	2.609634551495017	0.000000000000000	2.066738323236271	0.000000000000000	2.312390072307993	0.000000000000000	2.001433131392092	0.000000000000000	1.894501986841248	0.000000000000000	1.737052960719171	0.000000000000000	2.990619503615400	0.000000000000000	1.942577030812325	0.000000000000000	2.394860269689271	0.000000000000000	1.665200964106573	0.000000000000000	1.366262784183441	0.000000000000000	2.081037065989186	0.000000000000000	2.086671878053547	0.000000000000000	2.437105074587975	0.000000000000000	1.996286886847762	0.000000000000000	2.236694677871149	0.000000000000000	2.118591622695590	0.000000000000000	2.374438147351964	0.000000000000000	2.354276594358674	0.000000000000000	2.241450068399453	0.000000000000000	1.994918897791675	0.000000000000000	2.195329294508501	0.000000000000000	2.016187870497036	0.000000000000000	1.782522311250081	0.000000000000000	2.215295420493779	0.000000000000000	2.230799296462771
-0.5	32	0.000000000000000	2.021171259201355	0.000000000000000	2.087811868933620	0.000000000000000	2.414891538010553	0.000000000000000	2.221711940590190	0.000000000000000	2.315777473780210	0.000000000000000	1.665624389290600	0.000000000000000	2.033190020194124	0.000000000000000	2.231906716174842	0.000000000000000	2.130414956680347	0.000000000000000	1.616832779623477	0.000000000000000	1.203081232492997	0.000000000000000	0.988046381343235	0.000000000000000	2.140577161096997	0.000000000000000	2.276398931665689	0.000000000000000	3.129079538792261	0.000000000000000	2.032636310338089	0.000000000000000	2.851573187414500	0.000000000000000	2.455670640349163	0.000000000000000	1.893068855449156	0.000000000000000	2.566673180900267	0.000000000000000	2.160673571754283	0.000000000000000	3.563448635268061	0.000000000000000	2.340629274965800	0.000000000000000	2.357663995830891	0.000000000000000	1.610025405511042	0.000000000000000	1.893557422969188	0.000000000000000
-1.0	31	2.622663018695850	0.000000000000000	2.494039476255618	0.000000000000000	2.640088593576966	0.000000000000000	2.631359520552407	0.000000000000000	1.898475669337502	0.000000000000000	2.738420949775259	0.000000000000000	1.439775910364146	0.000000000000000	2.227151325646538	0.000000000000000	2.221288515406163	0.000000000000000	1.981011009054785	0.000000000000000	2.520031268321282	0.000000000000000	1.849521203830369	0.000000000000000	2.614943651879357	0.000000000000000	2.198423555468699	0.000000000000000	1.684939091915836	0.000000000000000	2.549605888867175	0.000000000000000	1.557911536707706	0.000000000000000	3.076053677284867	0.000000000000000	2.323985408116735	0.000000000000000	2.307471825939678	0.000000000000000	2.028890626017849	0.000000000000000	1.993746335743600	0.000000000000000	1.838381864373656	0.000000000000000	1.665461533450590	0.000000000000000	2.225783336590450	0.000000000000000	2.677838577291382	0.000000000000000	2.776138362321673
-1.5	30	0.000000000000000	2.034330011074197	0.000000000000000	2.720571949710116	0.000000000000000	2.555598983779559	0.000000000000000	1.819132304084425	0.000000000000000	2.666601524330662	0.000000000000000	2.053091003843398	0.000000000000000	1.897856817145463	0.000000000000000	1.861507393655137	0.000000000000000	2.227672464334571	0.000000000000000	2.226760471630512	0.000000000000000	2.524037521985538	0.000000000000000	2.780665754673963	0.000000000000000	3.045729919874927	0.000000000000000	1.952543808220963	0.000000000000000	2.529770047553905	0.000000000000000	2.088821575141685	0.000000000000000	2.826265389876881	0.000000000000000	1.801413588691291	0.000000000000000	2.637710898312814	0.000000000000000	2.207738909517295	0.000000000000000	2.667936942218748	0.000000000000000	1.770796690769331	0.000000000000000	2.707348055501270	0.000000000000000	2.138883460360888	0.000000000000000	3.034362582242199	0.000000000000000	2.974333919614357	0.000000000000000
-2.0	29	2.101915184678523	0.000000000000000	2.050387596899225	0.000000000000000	1.575727965604847	0.000000000000000	2.371050745879747	0.000000000000000	1.889355742296919	0.000000000000000	1.871181030551756	0.000000000000000	3.087258159077585	0.000000000000000	1.730864438798775	0.000000000000000	2.943456452348381	0.000000000000000	2.439026773500098	0.000000000000000	2.197739560940655	0.000000000000000	1.982867565630904	0.000000000000000	2.002735978112175	0.000000000000000	2.010813627776692	0.000000000000000	1.815060908084164	0.000000000000000	2.377434694808156	0.000000000000000	2.779460621457885	0.000000000000000	2.386326623672725	0.000000000000000	2.477428180574555	0.000000000000000	1.722298221614227	0.000000000000000	2.358250276854928	0.000000000000000	2.311640935443945	0.000000000000000	2.650902221353658	0.000000000000000	1.773206957201485	0.000000000000000	2.375187284216012	0.000000000000000	2.227770177838577	0.000000000000000	3.178913425835451
-2.5	28	0.000000000000000	1.876718129112110	0.000000000000000	1.556185264803596	0.000000000000000	1.931991401211647	0.000000000000000	1.663246694026448	0.000000000000000	2.591101556901831	0.000000000000000	2.116865350791479	0.000000000000000	1.877955833496189	0.000000000000000	1.875056999544004	0.000000000000000	2.205882352941177	0.000000000000000	2.163832975050485	0.000000000000000	1.013223894208846	0.000000000000000	2.210409745293466	0.000000000000000	2.102664321542571	0.000000000000000	2.337339586997590	0.000000000000000	1.662302130154387	0.000000000000000	2.464334571037718	0.000000000000000	2.152172496905739	0.000000000000000	2.903621913881832	0.000000000000000	2.402286495993746	0.000000000000000	2.651390788873689	0.000000000000000	1.966223698781838	0.000000000000000	1.428799426747443	0.000000000000000	2.213699433261677	0.000000000000000	2.348120643606280	0.000000000000000	3.038303693570451	0.000000000000000	3.396163116409355	0.000000000000000
-3.0	27	2.006221093088398	0.000000000000000	2.368021627255553	0.000000000000000	2.428636570907433	0.000000000000000	1.896651683929386	0.000000000000000	2.220865090222135	0.000000000000000	1.939157058172106	0.000000000000000	2.559214383427790	0.000000000000000	2.306006123379584	0.000000000000000	2.059409810435802	0.000000000000000	1.899485375545567	0.000000000000000	1.715393133997785	0.000000000000000	2.136342909256726	0.000000000000000	2.190248192300176	0.000000000000000	1.660217575402254	0.000000000000000	1.909452152954205	0.000000000000000	2.441209041756237	0.000000000000000	1.788157123314442	0.000000000000000	1.607484854406879	0.000000000000000	2.610416259527067	0.000000000000000	1.998404012767898	0.000000000000000	1.689824767116149	0.000000000000000	1.885935769656700	0.000000000000000	3.082502768549280	0.000000000000000	1.250960849456062	0.000000000000000	2.359162269558986	0.000000000000000	1.177252296267344	0.000000000000000	2.243892905999609
-3.5	26	0.000000000000000	2.149045664777539	0.000000000000000	2.124259005927953	0.000000000000000	1.825841964692854	0.000000000000000	2.081949058693245	0.000000000000000	2.230897009966777	0.000000000000000	2.483421275486939	0.000000000000000	2.133769786984561	0.000000000000000	1.847501791414240	0.000000000000000	1.617484202983519	0.000000000000000	2.202592664972966	0.000000000000000	1.990912644127418	0.000000000000000	2.445247866588496	0.000000000000000	1.792554230994724	0.000000000000000	1.905706468633965	0.000000000000000	1.382580939352485	0.000000000000000	1.821347143508566	0.000000000000000	2.469187675070028	0.000000000000000	2.063676633444075	0.000000000000000	1.708390332877337	0.000000000000000	2.158230734154127	0.000000000000000	1.746010031919745	0.000000000000000	2.170477493322911	0.000000000000000	2.417366946778711	0.000000000000000	2.126408703016090	0.000000000000000	2.613705947495277	0.000000000000000	2.270340694417302	0.000000000000000
-4.0	25	1.834505895381408	0.000000000000000	2.055826981955573	0.000000000000000	2.354439450198684	0.000000000000000	1.983649273662954	0.000000000000000	2.332193342453260	0.000000000000000	2.408768158426161	0.000000000000000	3.144974268777278	0.000000000000000	2.498273728095890	0.000000000000000	2.546772197250994	0.000000000000000	2.769265845873233	0.000000000000000	1.789199400690509	0.000000000000000	2.324604260308775	0.000000000000000	1.786756563090352	0.000000000000000	2.460100319197446	0.000000000000000	2.245554035567715	0.000000000000000	2.368901048791610	0.000000000000000	2.340531561461794	0.000000000000000	2.809458667187805	0.000000000000000	2.309360953683799	0.000000000000000	1.975083056478405	0.000000000000000	2.510813627776692	0.000000000000000	2.336851019477558	0.000000000000000	3.150641652009641	0.000000000000000	1.367858771415543	0.000000000000000	2.076835385316917	0.000000000000000	1.927920005211387	0.000000000000000	2.058953814083773
-4.5	24	0.000000000000000	2.115073936551365	0.000000000000000	1.766073871409029	0.000000000000000	1.650250797993616	0.000000000000000	2.010878770112696	0.000000000000000	2.848967493974334	0.000000000000000	2.815321477428181	0.000000000000000	1.810859227411895	0.000000000000000	2.698781838316722	0.000000000000000	2.820695720148525	0.000000000000000	1.536968275682366	0.000000000000000	1.633476646472543	0.000000000000000	3.756335092176406	0.000000000000000	2.931633118363624	0.000000000000000	2.103967168262654	0.000000000000000	1.993355481727575	0.000000000000000	2.084619894469416	0.000000000000000	1.999348576639958	0.000000000000000	1.797505048531040	0.000000000000000	2.464888280893753	0.000000000000000	2.661552993290339	0.000000000000000	1.940850758908214	0.000000000000000	2.702527522636962	0.000000000000000	1.957624910429288	0.000000000000000	2.046348772066966	0.000000000000000	2.543026512930754	0.000000000000000	1.898052244153475	0.000000000000000
-5.0	23	1.548824180835125	0.000000000000000	1.991433782815452	0.000000000000000	1.789687968210540	0.000000000000000	2.821542570516579	0.000000000000000	2.568301739300371	0.000000000000000	2.271773825809393	0.000000000000000	2.419028076346818	0.000000000000000	1.601915184678523	0.000000000000000	2.691876750700280	0.000000000000000	2.120806462119732	0.000000000000000	1.786235424402319	0.000000000000000	1.853169174646603	0.000000000000000	2.230799296462771	0.000000000000000	1.841736694677871	0.000000000000000	2.505667383232363	0.000000000000000	1.570451436388509	0.000000000000000	2.111393394567129	0.000000000000000	1.722754217966256	0.000000000000000	1.320565435476516	0.000000000000000	1.527359781121751	0.000000000000000	2.407009315354049	0.000000000000000	2.557618396195688	0.000000000000000	2.168327796234773	0.000000000000000	1.333691616181356	0.000000000000000	1.403915054393851	0.000000000000000	1.714546283629731	0.000000000000000	1.387922610904827
-5.5	22	0.000000000000000	2.219497101166048	0.000000000000000	3.104976874470719	0.000000000000000	2.060842941827894	0.000000000000000	1.846231515862159	0.000000000000000	2.145723405641326	0.000000000000000	2.508142792000521	0.000000000000000	2.559605237443815	0.000000000000000	2.262849325776823	0.000000000000000	1.694287017132434	0.000000000000000	2.788808546674484	0.000000000000000	2.688163637548043	0.000000000000000	1.954009510781057	0.000000000000000	1.600677480294443	0.000000000000000	1.794345645234838	0.000000000000000	1.963813432349684	0.000000000000000	2.899811087225588	0.000000000000000	2.076053677284867	0.000000000000000	1.938277636636050	0.000000000000000	1.600807764966452	0.000000000000000	2.390886587193017	0.000000000000000	1.698293270796691	0.000000000000000	1.429222851931470	0.000000000000000	2.604944303302716	0.000000000000000	1.988046381343235	0.000000000000000	2.695948146700541	0.000000000000000	2.263500749136864	0.000000000000000
-6.0	21	2.113054524135236	0.000000000000000	1.656243892906000	0.000000000000000	2.420656634746922	0.000000000000000	2.279981760145919	0.000000000000000	2.921764054458993	0.000000000000000	1.482606996286887	0.000000000000000	1.972184222526220	0.000000000000000	1.305256986515536	0.000000000000000	3.005537098560354	0.000000000000000	1.663930688554492	0.000000000000000	1.848381212950296	0.000000000000000	2.443000455996352	0.000000000000000	2.059149241091786	0.000000000000000	1.756107094000391	0.000000000000000	1.563383492932056	0.000000000000000	2.418148654810762	0.000000000000000	1.774412090417562	0.000000000000000	2.365383362647385	0.000000000000000	1.728812455214644	0.000000000000000	1.907693309882092	0.000000000000000	2.306950687251645	0.000000000000000	2.739300371311315	0.000000000000000	1.436518793563937	0.000000000000000	2.444857012572471	0.000000000000000	2.510162204416650	0.000000000000000	2.079603934597094	0.000000000000000	1.778841769265846
-6.5	20	0.000000000000000	2.975245912318416	0.000000000000000	1.997980587583871	0.000000000000000	2.049703602371181	0.000000000000000	2.082763337893297	0.000000000000000	1.906944173018045	0.000000000000000	2.702071526284933	0.000000000000000	1.878802683864243	0.000000000000000	1.612500814279200	0.000000000000000	1.705296071917139	0.000000000000000	1.457592339261286	0.000000000000000	2.207869194189304	0.000000000000000	1.863233665559247	0.000000000000000	2.654257051657873	0.000000000000000	2.065696045860204	0.000000000000000	1.693537880268386	0.000000000000000	1.806820402579637	0.000000000000000	2.650446225001629	0.000000000000000	2.236368966191128	0.000000000000000	2.503224545632206	0.000000000000000	2.007393655136473	0.000000000000000	2.061885219203961	0.000000000000000	2.112565956615204	0.000000000000000	2.515145593120969	0.000000000000000	2.314148915380105	0.000000000000000	2.777441209041756	0.000000000000000	3.189173343756107	0.000000000000000
-7.0	19	1.856686860790828	0.000000000000000	2.655527327209954	0.000000000000000	2.808546674483747	0.000000000000000	2.112598527783206	0.000000000000000	2.008598788352550	0.000000000000000	2.097648361670250	0.000000000000000	2.457918050941307	0.000000000000000	1.944140446876425	0.000000000000000	2.391049443033027	0.000000000000000	1.643475995049182	0.000000000000000	2.324701973812781	0.000000000000000	1.694449872972445	0.000000000000000	1.871865025079799	0.000000000000000	1.923360041691095	0.000000000000000	1.531919744642043	0.000000000000000	2.369324473975637	0.000000000000000	2.291088528434630	0.000000000000000	2.647742818057456	0.000000000000000	1.865448504983389	0.000000000000000	2.490847501791414	0.000000000000000	2.252621979024168	0.000000000000000	2.035991140642303	0.000000000000000	2.288906260178490	0.000000000000000	1.546837339586998	0.000000000000000	2.719236531822031	0.000000000000000	2.147742818057456	0.000000000000000	2.263989316656895
